|genres|app_name|release_date|id
88310|['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']|Lost Summoner Kitty|2018|761140
88311|['Free to Play', 'Indie', 'RPG', 'Strategy']|Ironbound|2018|643980
88312|['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']|Real Pool 3D - Poolians|2017|670290
88313|['Action', 'Adventure', 'Casual']|弹炸人2222|2017|767400
88315|['Action', 'Adventure', 'Simulation']|Battle Royale Trainer|2018|772540
88316|['Free to Play', 'Indie', 'Simulation', 'Sports']|SNOW - All Access Basic Pass|2018|774276
88317|['Free to Play', 'Indie', 'Simulation', 'Sports']|SNOW - All Access Pro Pass|2018|774277
88318|['Free to Play', 'Indie', 'Simulation', 'Sports']|SNOW - All Access Legend Pass|2018|774278
88319|['Casual', 'Indie', 'Racing', 'Simulation']|Race|2018|768800
88322|['Action', 'Adventure', 'Casual', 'Indie', 'RPG']|Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition|2018|770380
88323|['Casual', 'Indie']|Beach Rules|2018|768880
88324|['Casual', 'Indie', 'Simulation']|Planetarium 2 - Zen Odyssey|2018|765320
88325|['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']|The first thrust of God|2018|773650
88326|['Free to Play', 'Indie', 'Simulation', 'Sports']|SNOW - Starter Pack|2018|774271
88327|['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']|The first thrust of God - All Aircrafts|2018|773690
88328|['Free to Play', 'Indie', 'Simulation', 'Sports']|SNOW - Lifetime Pack|2018|774279
88331|['Action', 'Adventure', 'Indie']|The Warrior Of Treasures|2018|768060
88333|['Racing', 'Simulation', 'Sports']|RC Plane 3 - Canyon Scenario|2017|775880
88334|['Racing', 'Simulation', 'Sports']|RC Plane 3 - F-53B|2017|775881
88335|['Action', 'Indie']|DinoBlaster|2018|653960
88337|['Action', 'Indie', 'Racing']|Carmageddon Max Pack|1997|282010
88338|['Action']|Half-Life|1998|70
88339|['Action', 'Indie', 'RPG']|Fallen Mage|2016|752360
88341|['Casual', 'Indie', 'Strategy']|Lost Cities|2018|520680
88342|['Action']|Twisted Enhanced Edition|2018|690410
88343|['Casual', 'Indie', 'Simulation']|Vaporwave Simulator|2018|766850
88344|['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']|Tactics Forever|2018|413120
88345|['Adventure', 'Casual', 'Indie']|Christmas Santa Troubles|2017|773120
88347|['Action', 'Adventure', 'RPG']|Underdone - Soundtrack|2018|754360
88348|['Adventure', 'Casual', 'Indie', 'RPG']|Bitcoin Clicker|2018|716110
88349|['Strategy']|Disciples II: Gallean's Return|2006|1640
88350|['Strategy']|Disciples II: Rise of the Elves|2006|1630
88351|['Action', 'Indie', 'RPG']|The Ship: Murder Party|2006|2400
88353|['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']|Life of Rome|2017|381620
88356|['Action', 'Indie', 'Strategy', 'Early Access']|Souland|2017|759920
88357|['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']|Darkness and a Crowd|2018|659780
88358|['Action', 'Adventure', 'Indie', 'RPG']|TAROTICA VOO DOO|2017|603280
88359|['Casual', 'Strategy', 'Early Access']|Chronicles of Vinland|2017|753110
88360|['Action', 'Indie']|Orbitality|2017|753100
88362|['Action', 'Adventure', 'Casual']|Atomic Adam: Episode 1|2017|764280
88364|['Adventure', 'Casual', 'Free to Play', 'Indie']|Mirt. Tales of the Cold Land. Chapter 2|2017|758550
88365|['Action']|Advent Rising|2005|3800
88366|['Indie', 'Strategy']|DEFCON|2006|1520
88367|['Action', 'Indie', 'RPG']|The Ship: Single Player|2006|2420
88368|['Indie', 'Simulation']|Garry's Mod|2006|4000
88369|['Racing']|RACE - The WTCC Game|2006|4230
88370|['Casual', 'Indie']|Zen of Sudoku|2006|4900
88371|['Casual', 'Indie']|Gumboy - Crazy Adventures™|2006|2520
88372|['Strategy']|Ghost Master®|2003|6200
88373|['Strategy']|Vegas: Make It Big™|2006|6210
88374|['Adventure', 'RPG']|Dreamfall: The Longest Journey|2006|6300
88375|['Racing']|FlatOut 2™|2006|2990
88376|['Racing']|FlatOut|2005|6220
88377|['Action', 'Adventure']|Lost Planet™: Extreme Condition|2007|6510
88378|['Strategy']|CivCity: Rome|2006|3980
88379|['RPG']|Arx Fatalis|2002|1700
88380|['Action', 'Adventure', 'RPG']|The Longest Journey|2000|6310
88381|['Strategy']|Civilization IV®: Warlords|2006|3990
88382|['Strategy']|Railroad Tycoon 3|2003|7610
88383|['Strategy']|Sid Meier's Railroads!|2006|7600
88385|['Strategy']|Railroad Tycoon II Platinum|1998|7620
88386|['Casual', 'Indie']|RIP - Trilogy™|2007|2540
88387|['Strategy']|X-COM: Terror From the Deep|1995|7650
88388|['Action', 'Adventure']|Tomb Raider: Anniversary|2007|8000
88389|['Action']|Devil May Cry® 3 Special Edition|2006|6550
88390|['Action', 'Adventure']|Sam & Max 101: Culture Shock|2006|8200
88391|['Action']|Final DOOM|1996|2290
88392|['Indie', 'RPG']|Vigil: Blood Bitterness™|2007|2570
88393|['Action', 'Adventure']|Sam & Max 102: Situation: Comedy|2006|8210
88394|['Action']|Ultimate Doom|1995|2280
88395|['Action']|Master Levels for Doom II|1995|9160
88396|['Action']|DOOM II|1994|2300
88397|['Action']|Wolfenstein 3D|1994|2270
88398|['Action']|Return to Castle Wolfenstein|2001|9010
88399|['Action']|QUAKE Mission Pack 1: Scourge of Armagon|1997|9040
88400|['Action']|Spear of Destiny|1993|9000
88401|['Action']|BloodRayne|2003|3810
88402|['Action']|QUAKE Mission Pack 2: Dissolution of Eternity|2007|9030
88403|['Action']|QUAKE|2007|2310
88404|['Strategy']|Genesis Rising|2007|3230
88405|['Strategy']|Warhammer® 40,000: Dawn of War® – Winter Assault|2006|9310
88406|['Action', 'RPG']|BioShock™|2007|7670
88407|['Strategy']|Warhammer® 40,000: Dawn of War® - Game of the Year Edition|2006|4570
88408|['Strategy']|Warhammer® 40,000: Dawn of War® - Dark Crusade|2006|4580
88409|['Strategy']|Rome: Total War™ - Collection|2004|4760
88410|['Strategy']|Rome: Total War™ - Alexander|2006|4770
88411|['Casual']|Mystery Case Files: Madame Fate®|2007|50970
88412|['Action']|Grand Theft Auto|1998|12170
88413|['Action']|Grand Theft Auto 2|1999|12180
88414|['Action']|Manhunt|2004|12130
88415|['Racing']|Midnight Club 2|2003|12160
88416|['Action']|Max Payne 2: The Fall of Max Payne|2003|12150
88417|['Action', 'Adventure']|Tomb Raider: Legend|2006|7000
88418|['Action']|Max Payne|2001|12140
88419|['Strategy']|Command & Conquer: Red Alert 3|2008|17480
